Square:
|    i    | a[i]    |modified a[i]
|    0    | 1.23    | 1.51
|    1    | 2.34    | 5.48
|    2    | 3.45    | 11.9
|    3    | 4.56    |20.79
|    4    | 5.67    |32.15
|    5    | 7.89    |62.25
|    6    | 34.6    |1197.16
|    7    |21.11    |445.63
Sin + Cos - Tg:
|    i    | a[i]    |modified a[i]
|    0    | 1.23    |-1.54
|    1    | 2.34    | 1.06
|    2    | 3.45    |-1.57
|    3    | 4.56    |-7.65
|    4    | 5.67    | 0.95
|    5    | 7.89    |28.71
|    6    | 34.6    |-1.08
|    7    |21.11    | 1.35
RoundtoInt:
|    i    | a[i]    |modified a[i]
|    0    | 1.23    |    1
|    1    | 2.34    |    2
|    2    | 3.45    |    3
|    3    | 4.56    |    5
|    4    | 5.67    |    6
|    5    | 7.89    |    8
|    6    | 34.6    |   35
|    7    |21.11    |   21
